,Tangail,2022,Mar,8.1,8.6,8.6,8.4,8.6,8.7,8.9,9.1,9.5,9.6,9.6,8.9,10,9,9.3,9.1,9.4,9.7,9.2,9.1,6.9,5.7,8.1,4.8,3.1,5.9,3.9,4.2,4.2,3.5,5.6
,Tangail,2022,Apr,1.7,0,0,3.1,2.9,2.9,4.7,8.1,2.1,1.4,4.1,1.7,3.1,0,6.9,2.6,4.2,5.5,7.2,1.6,2.9,0.6,7.9,9.5,8.2,7,7.7,5.1,8.8,7.7,
,Tangail,2022,May,7.3,7.6,1.8,3.3,6.6,3.5,7.4,7.4,1.9,0,2.1,4.9,0.3,2.4,6.4,6.7,4.1,6.3,4.6,5.5,3.6,3,9.2,8.3,4.3,10,4.4,4.4,2.6,2.1,0
,Tangail,2022,June,4.1,2.2,3.2,1.4,1.5,0.6,0,6.7,0,6.9,3.2,0.2,0.3,0,0,0.1,0,0.6,4,4.1,0.3,2.2,5.8,7.9,6.8,7.1,9.7,4.3,1.9,0.1,
,Tangail,2022,July,3.6,7.1,7.2,5.9,5,1.9,9.1,3.1,11,10.6,9.6,10.6,8.6,11.3,9.1,10.2,5.7,7.6,3.6,0.8,6.3,4.3,4.5,0.2,1.5,0.9,8.6,2.8,7.5,2.2,0
,Tangail,2022,Aug,0,2.2,0.5,0,7.2,2.8,8.9,6.8,9,3.6,8.2,7,3.4,5.8,5.8,8.4,6.3,8.5,5.5,9.6,5.7,3.6,3.9,9.8,8.1,8.4,0,3.4,3,7.8,8.4
,Tangail,2022,Sep,0,3.7,1.5,0,0,0.2,7.4,4.8,8.8,5.5,2.8,0.8,0,0,3.8,2.6,3.7,0.8,3.8,8.9,6.5,7.7,4.8,3,0.8,3.9,1,3.5,5.7,5.9,
,Tangail,2022,Oct,6.8,0,1,5.2,5.7,8.3,4.1,8.5,8.6,8.1,8,1.1,6.3,4.5,8.4,9.1,8.6,8.3,7.1,9.6,10.2,9.8,0.1,0,3.9,9.7,9.4,10,8.2,9.8,8.2
,Tangail,2022,Nov,8.8,9.2,7.1,7.9,8.9,7.9,9.6,7.9,9.3,9,7.8,7.9,7.2,8.6,8.8,8.8,6.7,6.7,7.3,9.6,9.2,8.1,8.3,8.3,9.1,9,8.7,8.1,8.3,8.6,
,Tangail,2022,Dec,9,9,9,8.4,8.3,8.6,8.5,7.8,7.9,4.4,7.8,7.5,6.4,3.6,0,6.6,6.4,6.6,7.7,7.5,7.4,6.2,8.1,7.8,5.9,5.1,4.7,3.9,2.3,3.9,3.9
,Tangail,2023,Jan,6.7,6.5,0,0,3.3,3.2,0.1,7.6,8.3,8.6,7.4,6.4,7.7,1,6.5,3.2,5.8,6.8,7.1,7.1,7.8,7.5,5.5,7.9,6.4,2.7,7.7,5.5,4.2,6.1,4.3
,Tangail,2023,Feb,4.5,8.8,8.5,8.2,8.2,7.8,9.1,5.9,5,8.5,8.2,6,10.1,9.6,9.1,8.5,8,7.3,1.9,6.8,2.3,5,8.4,3,8,8.5,6.8,8.8,,,
,Tangail,2023,Mar,8.7,4,7.6,8.8,8.7,9.8,9.5,7,8.1,1.3,2.6,8.8,9.4,1.7,0.8,0,0,6.5,0,1.3,4.5,9.5,9.1,9.1,6.5,8.4,7.8,8.2,3.6,5.1,2.2
,Tangail,2023,Apr,2.4,7.1,9.8,8.8,8.4,9.6,9.8,9.8,9.9,9.8,9.7,10.7,10.7,10.8,6.9,9.7,9.7,6.7,8.4,8.6,4.7,10.5,0.3,8,10.9,9.3,7.2,8.8,6.3,9,
,Tangail,2023,May,5.5,9.4,7.3,4.6,7.2,9.9,10.7,11,10.7,10.3,10,3.8,8.3,5.5,9.7,7.4,7.2,5.1,1.5,9.4,5.3,6.7,4.3,8.9,7.5,9.2,4.1,10.5,11.3,10.4,9.5
,Tangail,2023,June,7.4,10.5,7.7,7.8,9.9,10.4,4.5,0,0,0.9,1.7,0.3,4.3,6.8,2.6,4.7,6.3,2.4,1.1,0,0,1.3,5.5,6.4,6.7,3.4,0.3,0,0,0.3,
,Tangail,2023,July,0.6,0,3.5,6.8,7.2,4.8,5.7,7,3.1,4.7,5.1,5.2,2.2,2.9,4.5,2.9,4.9,8.5,10.2,10.8,3.1,5.5,6.8,4.9,6.8,4.7,6,9,5.6,8,7.9
,Tangail,2023,Aug,8.2,1.4,0.1,1.6,0.7,0,0,0,5.5,4,2,1.9,0.1,3.2,1.6,0.5,7.6,8.5,7.4,7.7,2.9,0.2,3.3,0.2,0,0.1,3.7,7.9,7.7,9,5.8
,Tangail,2023,Sep,5.7,2.1,4.6,0.5,9.2,4.4,5.4,0.3,3.2,5.5,1.5,0.3,7.4,9.3,5,7.9,7,4.6,2.1,0.5,2.7,3.1,0.3,3,3.1,6.6,6,9,4,3.7,
,Tangail,2023,Oct,8.3,4,3.5,0,0,0.3,2.4,8.6,5.8,3,5.2,7.7,8.4,8.4,9,7.9,8.3,8.1,8.3,8.6,8.6,5.9,4.4,4.1,7.9,8.5,8.5,8.2,8.8,7.5,8.3
,Tangail,2023,Nov,8.8,8.8,8.2,7.7,7.5,8.7,7.5,8,7.8,8.2,8.7,8.7,8.7,8.4,7.3,0,0.9,8.4,8.4,6.4,7.7,7.1,7,7.6,7.6,8.5,8.6,7.8,3.6,7.7,
,Tangail,2023,Dec,8.4,8.2,7.5,5.1,0,0,0,0.9,3.4,4.5,0.9,2.8,6.4,6.8,7.2,7.4,7.5,6.5,7.4,7.1,7.3,6.9,0.4,5.4,5.5,3.7,6.2,6.9,7.1,7.2,1.1
,Tangail,2024,Jan,3.2,5.5,1.4,6.2,7.8,7.7,7.6,4.3,3.5,3.4,2,0,0,0,1.1,0.5,3,4.6,6.5,4.3,0,3.4,6.2,4,1.7,6.4,7.4,8.3,7.9,7.1,3.7
,Tangail,2024,Feb,4.3,5.8,7.8,8.7,6,1,8.3,8.8,8.8,7.9,7.9,6.7,8,3.1,5.2,6.6,7.8,8,8.1,0,6.5,2,5.7,7.1,2.1,8.6,6,8.4,8.3,,
,Tangail,2024,Mar,8.6,8.6,6.5,3.9,8.5,9.8,9.2,9.7,9.3,10,9.5,9.1,8.4,5.4,9.1,8.4,8.8,3.2,0.9,0,2.5,6.2,8.9,6,4,8,4.9,7.9,3.5,3.7,7.4
,Tangail,2024,Apr,9.3,8.8,8.9,8.6,6.5,8.3,2.6,1.1,6,1.7,1.8,9.1,10,9.2,8.9,8.3,6.8,7.7,7.5,10.2,8.6,8.3,8.1,9.6,10.8,10.2,7.3,9.9,9.8,10,
,Tangail,2024,May,10.6,10.3,10.6,4.2,6.2,1.2,7.8,3.6,5.2,7.9,8,7.4,11.3,7.8,11,10.9,6.2,0.7,3.9,5.7,6.8,5.5,9.3,11.1,11.2,3.7,0,5.2,2.6,1.2,0.8
,Tangail,2024,June,9,8.6,6.5,5.4,6.5,4.4,7,1.4,0,0,8.6,6,0,0.9,0,0.2,0,0,0,0.6,4.1,2.4,6.5,9.7,3.9,5.4,5.8,2.1,1.8,0,
,Tangail,2024,July,0,0,1,0.6,0,1.4,5,4.3,4.7,7.7,0.3,4.7,1.8,8.7,5.9,5,9.5,9,7.9,6.5,5.9,5.2,5,4.9,8.5,10.7,10.5,8.2,3.4,3.9,4.2
,Tangail,2024,Aug,0,0,1.4,4.3,1,1.8,5.7,7.8,1,4.5,0,0,0.3,8.4,7.2,2.4,5.4,0.4,1.1,4.2,0,0,1.8,5.6,2.3,2.3,0.8,4.1,8.1,4.5,6.6
,Tangail,2024,Sep,0.3,4.2,0,3.8,2.7,5.3,6.4,6.3,9.3,6.9,5.7,7,5.5,0,0,0,7,7.4,8.8,8.8,0,8.7,6,5.9,0.4,0,0.9,7.2,0,0,
,Tangail,2024,Oct,1.5,5.1,0,0,0,1.9,4.6,6.7,3.1,5,5,4.5,3.8,1.1,4.4,6.9,0,1.5,6.8,6.1,5.9,7.9,0.6,0.7,0.6,3.2,7.5,7.5,6.1,6.5,4.3
,Tangail,2024,Nov,6.7,6.3,5.1,7.2,6.7,5.7,6.3,8.3,8.6,8.3,8.3,8.1,8.3,6.1,6.9,5.7,7.6,6.4,7.7,8,6.5,6.5,6.7,5.3,5.4,5.7,6.5,7.2,7.7,6.1,
,Tangail,2024,Dec,7.5,6.9,7.6,5.6,5.2,7.4,6.9,6.2,2.1,3.4,2.9,0,4.1,6.4,6.3,6,5.7,4.8,4.7,1.2,0,2.7,4.5,6.1,5.6,5.7,6.8,6.1,6,5.6,0
,Mymensingh,2019,Jan,8.6,6.7,7.5,8.5,7.5,8.9,9,7.5,6.8,7.4,7.1,7.9,8.5,7.4,6.3,8,7.2,5.8,6.1,7.2,7.7,8,8.3,7.1,7.7,5.8,8.6,8.2,8,8.7,7.8
,Mymensingh,2019,Feb,7.4,7.5,6.7,8.2,7.8,7.6,7.6,1.3,2.8,9.3,9.2,8,8.4,9.4,7.9,0.1,1.4,3.8,8.2,1.6,7,7.2,2.2,9.7,5.2,6.4,1.6,1.4,,,
,Mymensingh,2019,Mar,9.9,9.5,9.2,3.7,2.3,8.5,5.8,9.3,9,8.4,6.2,6.9,6.8,9.5,9.1,8.8,7.6,3.8,5.6,7.8,5.4,5.9,9.2,9.4,9.5,8.1,5.5,8,6.6,0.3,0.2
,Mymensingh,2019,Apr,9,1.8,6.5,1.4,2.9,2.6,3.3,5.2,3.8,7.6,5.3,7.9,6.9,9.5,1.9,7.1,10,10.6,9.1,10.1,10.7,8.3,10.8,9.9,8.2,6.4,3.5,2.5,7,4.2,
,Mymensingh,2019,May,9.5,3.8,1.8,0,9.2,8.3,5.4,5.5,4.6,4.5,5.5,8.1,4.5,9.8,8.7,9.3,8.3,0.9,5.6,7.9,8.2,8.2,6.3,0,0.3,4.8,5.7,10.4,10.3,8.4,0.5
,Mymensingh,2019,Jun,5.8,0,0.1,2,0.2,5.5,10.8,3.9,1.4,7.9,6.5,5.9,0,0.5,1.7,0,1.1,3.9,8.6,0.4,1.2,4.8,11.1,11.6,0.4,0,0,0,6.6,8.7,
,Mymensingh,2019,Jul,8.1,8.3,5.2,5.6,8.8,0.2,0.5,0.9,0,0,0,2.2,0,0,0.4,1.2,7,6,5.7,9.1,9.6,6.6,0,2.2,0,3.5,4.3,10.6,6.7,5.4,2.1
,Mymensingh,2019,Aug,5.7,10,6.5,8.3,5,5.3,7.6,7.5,5,7.8,9.2,10.2,5.2,0.6,0.4,1.7,4.8,6.5,9.2,9.8,8.6,6.9,4.2,5.2,9.1,10.1,11.4,5.9,7.5,3.9,0.7
,Mymensingh,2019,Sep,9.5,6,6.4,3.3,6.2,8.6,6.6,5.7,5,8,7,2.4,0,3.7,5.6,1.3,4.8,7.8,9.5,9.7,7.9,6.3,2,2.1,0,6.1,6.5,0,0,0,
,Mymensingh,2019,Oct,1.8,5,5.9,3.2,0.6,2.2,3.1,3.3,3.4,2.5,7.7,8.9,9.1,9.2,9.1,6.2,9.1,7.3,8.9,8.3,3.9,6.6,3.1,0,0,0.2,1.4,10.2,7.9,8.6,7.7
,Mymensingh,2019,Nov,8.1,8.7,7.4,8.4,8.6,6.8,6.3,1.7,0,0,8.5,5.5,8.8,9.8,9.1,9.6,7.1,7.3,4.5,6.6,7.6,8.3,7.5,7.1,7.9,9.1,9.3,9.3,8.2,7.6,
,Mymensingh,2019,Dec,7.1,8,7.6,8.3,9.3,9.4,8.3,8.1,7.6,6.1,5.6,6.6,8.1,7.2,6,6,4.7,1.2,0,0,0,0,1.3,0,2,5.9,0.1,4.1,7.8,7.8,7.9
,Mymensingh,2020,Jan,6.3,3.8,2.5,3.6,1.2,8.3,0,0,0.9,8.6,4.2,4.4,2.6,5.8,3.3,6.2,6.2,7.4,2.2,5.9,6.6,7.2,8.2,8.7,7.6,5.6,3.3,3.8,1.1,0,0.8
,Mymensingh,2020,Feb,3.8,8.5,8.4,7.4,5.6,8.1,5.2,2.7,7.4,7.6,7.9,7.9,8.1,6.3,1.5,4.8,2.1,5.3,5,2.5,7.7,8.6,0.3,0.1,0,7.7,5.5,9.5,9.9,,
,Mymensingh,2020,Mar,8.6,7.4,6.1,7.3,6.3,2.8,0.7,4.4,8.5,9.2,8.5,7.3,9.3,8.3,2.2,9,8.7,8.4,8.8,6.6,8.6,1.8,8,8.6,7.6,7.6,7.5,10,10.7,10.2,9.9
,Mymensingh,2020,Apr,10.1,8,5.7,9,8.5,9.1,9.2,6.8,6.9,8,8.2,4.3,10,3.6,0,10.6,2,0.1,9.1,7.8,1.4,4.6,4,5.5,4.3,3.5,9.2,1.9,6.2,8.6,
,Mymensingh,2020,May,3.3,0.5,8.9,8.5,4.1,4,7.6,9.8,9.8,6.7,7.3,9.9,5.3,7,4.4,4.5,8.3,8.9,0,0.6,0,0,7.9,1.1,0,0,1.6,5.4,6.5,4.2,8.6
,Mymensingh,2020,June,2.8,11.1,5.4,0.5,5.2,4.3,8.8,6.1,10.3,5.3,3.5,2.6,0,3.1,6.9,6.7,10.8,0,1.5,6.2,2.4,4.1,6.7,3.1,0,0.6,0,1.9,1.8,5.9,
,Mymensingh,2020,July,2.4,0,5.3,0.2,2.2,3.5,2.4,7.8,0,1.9,0,0,3.4,3.5,8,7.3,9.6,6.2,0,0,0,0.1,4.4,2.9,4.6,7.4,0,2.8,0,1.1,1.5
,Mymensingh,2020,Aug,5.2,8.3,7.2,6.3,8.3,7.7,8.6,3.2,8,6.5,1.5,2.2,9.2,4.4,0.7,1.1,2,1.9,8.7,0,0.6,0,5.7,8.5,6.7,10.4,6.3,4.8,3.6,0,0.4
,Mymensingh,2020,Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Mymensingh,2020,Oct,2.3,3.9,3.1,5.2,8.4,3.5,0,6.9,8.9,8.7,7.1,7.1,8.5,7.2,7.2,9.7,9.3,6.7,4.4,9.7,6.7,0,0,0,4.4,6.9,9.5,8.9,9.2,9.8,2.2
,Mymensingh,2020,Nov,2.6,5.4,4.4,8,8.3,8.3,8.7,10.1,10.1,10.2,9.8,9.6,9.5,9.2,9,7.5,9,9.3,6.9,6.4,5.5,8,8.8,8.5,8.1,6.8,0.5,8.6,8.5,6.9,
,Mymensingh,2020,Dec,9.6,8.3,7.2,5.4,0,0,0,0.7,0,0,0,0.3,0,0,1.4,4.6,4.9,7.1,7.9,6.4,7,8.7,8.1,6.8,8.5,8.1,6.4,6.9,7.3,8.8,8.8
,Mymensingh,2021,Jan,8.9,8.7,8.5,5,7.7,8.1,5.6,6.8,2.7,4.2,3.1,0,5,8.3,5.3,4.2,3.3,5.2,0,0,4,3.4,3.2,2.7,6.3,3.9,3.4,4,2.9,4.8,6.7
,Mymensingh,2021,Feb,5.3,7.2,7.9,8.7,8.8,8.3,4.8,9.1,8.8,8.2,6.9,5.9,6.5,7.6,7.2,7.5,3.7,7.7,6.4,1.1,9.5,9.2,8.1,6.8,2.9,6.7,7,7.1,,,
,Mymensingh,2021,Mar,6,8.5,7.6,8.3,8.3,4.6,3.7,0.2,1.5,1.5,6.3,4.5,5.4,8.3,8,7.9,8.5,7.8,5.7,4.6,7.3,8.4,7.9,4.1,8.9,8.3,7.6,7.1,6,0.9,3
,Mymensingh,2021,Apr,7.7,8.7,7.1,7.5,9.7,8.5,4.8,0,5,2,4.8,7.1,8.5,8.7,8,9.4,9,8.7,10.3,8.9,9.5,5.7,9.6,9.9,10.5,10.5,9,7.3,10.7,7.1,
,Mymensingh,2021,May,6.2,5.8,6.5,6.6,1.1,5.8,9.4,4.1,6,9.4,2.6,9.5,3.6,5.8,6.9,4.7,5.1,0.7,10,4.8,6.4,8.3,9.8,7.9,4.3,2.1,0.1,4.6,8.7,8.3,0
,Mymensingh,2021,June,0.3,7.4,7.4,6.2,0,1.9,0,0,2.2,4.8,4.1,4.9,8,2.6,5.1,6.1,6.7,1.3,0,0,2,2.5,9.1,5.8,9.9,6.8,6,2.2,0,0,
,Mymensingh,2021,July,0,0,1.7,3.2,0.9,0.6,0.2,7.3,10.2,0,3.3,8.6,3.5,3.2,2,6.5,0.5,6.2,0.8,1.6,4.5,8.8,6.7,5.3,2.1,0.5,7.9,7.5,0.2,1.9,2.6
,Mymensingh,2021,Aug,3.2,1.5,4.4,8.6,10,9.5,0.2,2.4,3.6,0,0,1.6,0.1,0.3,0,1.7,2.1,1.1,6.4,1,3.5,10.3,0,1.6,1.9,0,0,8.2,2.1,2.4,7.6
,Mymensingh,2021,Sep,1.6,3.9,8.4,5.5,5.4,8.1,5,6.6,5.6,10.8,8.1,7,6.9,3.7,10.8,3,0.3,4.9,7.9,7.4,0.3,8.4,5.7,10,8.7,11,10,4,3.3,5.6,
,Mymensingh,2021,Oct,6.5,8.9,1.9,2.4,3.9,6.9,5.3,6.3,8.9,8.5,9.3,8.8,0.9,7.6,9.5,10.1,4.4,1.8,0.6,2.1,7,7.4,9.4,9.4,5.6,8.1,9,7,9.9,9.3,9.4
,Mymensingh,2021,Nov,8.5,9.2,9.4,7.5,8.5,9.5,9.5,9.6,9.4,8.2,8.1,8.7,5.9,2.9,3.3,8.2,9.1,8.9,7.9,6.5,7.9,5.4,5.6,7.4,7.7,8.2,8.6,9.3,9.1,9.3,
,Mymensingh,2021,Dec,9.5,9.4,8.6,0.2,2.8,0,1.2,5.2,7.6,5.8,7.3,8,6.9,7.6,8.3,8.5,8.6,8.6,7.9,8.2,8.2,0,7.3,7.7,6.2,7.8,6.3,6.6,0.2,1,9
,Mymensingh,2022,Jan,6.9,6.1,6.2,5.7,5.5,6.5,7.6,8.2,7.2,5.5,0.5,0.6,6.4,0,3.8,8.5,8.1,6.4,5.7,4.7,2.7,0,0,4.8,5.5,0,7.3,6.9,7.4,7.2,6.2
,Mymensingh,2022,Feb,1.9,3.5,3.1,0,5.5,5.6,9.2,7.6,8,0,6,9.1,9.6,9.7,9.7,10.2,9.2,9,9.8,5.4,8.5,7.7,7.9,6.3,6.1,8.6,4.6,7.5,,,
,Mymensingh,2022,Mar,9.5,9.6,9.5,9.1,9.1,9.3,9.8,9.8,8.9,9.2,9.5,9.5,8.7,9.2,8.9,8.7,9,9.2,8.9,8.7,7.1,7.4,6.5,2,0.4,6.1,3.3,1.3,0,0,2.4
,Mymensingh,2022,Apr,7.5,0,1.3,5.8,3.8,1.1,4.6,6.9,0,0,5.7,1.8,2.6,1.1,6.8,2.6,5.5,2.4,7.7,3.8,8.7,1.5,5.9,6.6,6.5,6.4,2.2,4.8,6.2,5.9,
,Mymensingh,2022,May,7.8,6.5,1.2,6.9,6.1,1.8,5.9,8.5,1.5,0,4.4,4.6,0,0.8,2.6,1.8,1,6.7,3.1,3,0,4.6,7,5.3,3.4,10.4,5.9,10.1,5.6,9.5,3.5
,Mymensingh,2022,June,4.5,0.2,0,0,0.9,0,0,2.3,0,4,5.8,0,0,0,0,0,0,0,6.3,0.7,1.7,2.7,5.5,5.6,9.3,7,2,1.8,0,0,
,Mymensingh,2022,July,4.4,10,5.5,9.1,0,2.8,9.6,3.3,11.5,10.5,9.8,10,11.4,11.8,11.3,11.7,8.8,6.1,5.7,3.2,6,4.5,5.3,1,2.2,1.3,6.9,1.6,7.5,1.8,0
,Mymensingh,2022,Aug,0,6.9,2.3,4.5,6.5,4.5,11.6,9.1,10.5,6.4,12,10,2.4,8.5,4.5,8.7,7.4,8.1,8.2,7.9,7.9,7.7,8.3,11.1,10.6,8.4,0,0.8,3.7,0.7,7.9
,Mymensingh,2022,Sep,0,0.9,1.7,1.8,0.6,0.5,7.6,5.8,10.7,9.9,5.7,2.1,0,0.1,0.8,2.2,7.4,2.3,8.2,6.8,4.9,6.3,5.2,0.7,1.1,6.2,4.1,8.9,4.6,7.1,
,Mymensingh,2022,Oct,6.7,0.4,1,9.7,7.2,7.5,9.4,8.4,3.4,9.2,5.2,4.3,4.1,6.2,10.2,10.3,8.1,9.3,9.3,9.8,8.1,9.4,0.6,0,1.9,4.7,8.6,9.6,9.2,9.6,9.6
,Mymensingh,2022,Nov,9.4,9.1,7.9,8.7,7.9,9.2,7.4,8.5,9.7,9.8,9.6,9.1,7.4,9.1,8.8,8,8.8,9.5,8.8,9.6,9,9.4,9.3,8.4,9.3,9.9,9.5,8.5,7.3,8.3,
,Mymensingh,2022,Dec,8.5,8.9,9,8.2,9.3,8.9,9.3,7.9,10,7.2,8.2,7.5,6.7,5.8,2.9,3.6,6.8,9.2,6.9,6.9,7.6,6.8,7.1,7.5,0,2.7,1.7,1.7,2,0,0
,Mymensingh,2023,Jan,5.8,6.8,4.2,2.9,2.9,3.8,2.2,3.5,7.9,8.7,7.9,4.8,5.3,1.9,6.4,0,6.1,6.7,6.9,6.4,7.2,6.8,6.9,7.1,7.2,6.3,3.8,5.3,5.3,6.7,4.9
,Mymensingh,2023,Feb,3.1,8.9,8.3,7.2,6.3,4.2,4.9,4,6.2,7.7,7.1,4.8,9.5,9.5,8.1,7.7,6.5,6.5,3.6,0,0,0,8,3.6,7.9,9,9.5,8.7,,,
,Mymensingh,2023,Mar,8.5,8.4,8.6,7.3,6.9,9.4,9.5,8.6,9,3.9,9.3,8.1,9.7,5.7,4.7,0.5,0,8.3,0,0.3,4.1,4.7,6.8,9.2,6.8,4.5,9.7,8.7,7.4,2.1,4.3
,Mymensingh,2023,Apr,2.8,9.2,9.4,7.1,8.2,7.8,9.9,10.2,9.7,10.4,10.3,10.6,10.8,10.3,5.6,10.4,7.7,7.2,9.1,8.5,5.1,11,0.6,9.9,11.4,9.7,6.6,9.2,7.9,8.7,
