WQ_Station_Name,Year,Parameter_Type,Value
Doshgate Jalma,2023,Dissolved Oxygen,3.32
Doshgate Jalma,2023,pH,3.32
Dottobari Bridge (Down),2021,Biochemical Oxygen Demand,4.89
Dottobari Bridge (Down),2021,Dissolved Oxygen,4.54
Dottobari Bridge (Down),2021,pH,7.08
Dottobari Bridge (UP),2021,Biochemical Oxygen Demand,4.89
Dottobari Bridge (UP),2021,Dissolved Oxygen,4.54
Dottobari Bridge (UP),2021,pH,7.08
Dutta Bari Bridge (Down),2023,Biochemical Oxygen Demand,3.99
Dutta Bari Bridge (Down),2023,Dissolved Oxygen,3.54
Dutta Bari Bridge (Down),2023,pH,3.54
Dutta Bari Bridge (Up),2023,Biochemical Oxygen Demand,3.99
Dutta Bari Bridge (Up),2023,Dissolved Oxygen,3.54
Dutta Bari Bridge (Up),2023,pH,3.54
"Dutta Bari Bridge, Bogura (Downstream)",2022,Biochemical Oxygen Demand,3.03
"Dutta Bari Bridge, Bogura (Downstream)",2022,Dissolved Oxygen,5.72
"Dutta Bari Bridge, Bogura (Downstream)",2022,pH,7.17
"Dutta Bari Bridge, Bogura (Upstream)",2022,Biochemical Oxygen Demand,3.03
"Dutta Bari Bridge, Bogura (Upstream)",2022,Dissolved Oxygen,5.72
"Dutta Bari Bridge, Bogura (Upstream)",2022,pH,7.17
FDC More Bridge,2020,Biochemical Oxygen Demand,23.67
FDC More Bridge,2021,Biochemical Oxygen Demand,22.44
FDC More Bridge,2022,Biochemical Oxygen Demand,27.5
FDC More Bridge,2023,Biochemical Oxygen Demand,13.53
Fatullah,2021,Biochemical Oxygen Demand,6
Fatullah,2021,Chemical Oxygen Demand,50
Fatullah,2021,Dissolved Oxygen,0.7
Fatullah,2021,pH,7.47
Fatullah,2022,Biochemical Oxygen Demand,13.5
Fatullah,2022,Chemical Oxygen Demand,43.83
Fatullah,2022,Dissolved Oxygen,2.61
Fatullah,2022,pH,7.23
Fatullah,2023,Biochemical Oxygen Demand,9.44
Fatullah,2023,Chemical Oxygen Demand,33.22
Fatullah,2023,Dissolved Oxygen,2.19
Fatullah,2023,pH,2.19
Fcnchuganj Bridge Point,2021,Biochemical Oxygen Demand,2.94
Fcnchuganj Bridge Point,2021,Chemical Oxygen Demand,18.25
Fcnchuganj Bridge Point,2021,Dissolved Oxygen,7.03
Fcnchuganj Bridge Point,2021,pH,7.17
Fenchuganj Bridge Point,2022,Biochemical Oxygen Demand,2.3
Fenchuganj Bridge Point,2022,Chemical Oxygen Demand,15
Fenchuganj Bridge Point,2022,Dissolved Oxygen,7.24
Fenchuganj Bridge Point,2022,pH,6.89
Fenchuganj Bridge Point,2023,Biochemical Oxygen Demand,2.8
Fenchuganj Bridge Point,2023,Dissolved Oxygen,7.66
Fenchuganj Bridge Point,2023,pH,7.66
Fenchuganj Fertilizer Industry Point,2022,Biochemical Oxygen Demand,2.6
Fenchuganj Fertilizer Industry Point,2022,Chemical Oxygen Demand,14
Fenchuganj Fertilizer Industry Point,2022,Dissolved Oxygen,3.83
Fenchuganj Fertilizer Industry Point,2022,pH,8.5
Fenchuganj Fertilizer Industry Point,2023,Biochemical Oxygen Demand,20.5
Fenchuganj Fertilizer Industry Point,2023,Dissolved Oxygen,8.79
Fenchuganj Fertilizer Industry Point,2023,pH,8.79
Fenchuganj Point,2018,Biochemical Oxygen Demand,1.98
Fenchuganj Point,2018,Chemical Oxygen Demand,11
Fenchuganj Point,2018,Dissolved Oxygen,6.92
Fenchuganj Point,2018,pH,7.97
Fenchuganj Point,2020,Biochemical Oxygen Demand,2.57
Fenchuganj Point,2020,Chemical Oxygen Demand,10.57
Fenchuganj Point,2020,Dissolved Oxygen,6.93
Fenchuganj Point,2020,pH,6.94
"Fulchari Ghat, Gibanda (DS)",2018,Biochemical Oxygen Demand,2.21
"Fulchari Ghat, Gibanda (DS)",2018,Dissolved Oxygen,7.07
"Fulchari Ghat, Gibanda (DS)",2018,pH,7.51
"Fulchari Ghat, Gibanda (DS)",2019,Biochemical Oxygen Demand,2.23
"Fulchari Ghat, Gibanda (DS)",2019,Dissolved Oxygen,7.24
"Fulchari Ghat, Gibanda (DS)",2019,pH,7.48
"Fulchari Ghat, Gibanda (DS)",2020,Biochemical Oxygen Demand,2.22
"Fulchari Ghat, Gibanda (DS)",2020,Dissolved Oxygen,7.53
"Fulchari Ghat, Gibanda (DS)",2020,pH,7.66
"Fulchari Ghat, Gibanda (US)",2018,Biochemical Oxygen Demand,2.3
"Fulchari Ghat, Gibanda (US)",2018,Dissolved Oxygen,7.12
"Fulchari Ghat, Gibanda (US)",2018,pH,7.52
"Fulchari Ghat, Gibanda (US)",2019,Biochemical Oxygen Demand,2.24
"Fulchari Ghat, Gibanda (US)",2019,Dissolved Oxygen,7.28
"Fulchari Ghat, Gibanda (US)",2019,pH,7.48
"Fulchari Ghat, Gibanda (US)",2020,Biochemical Oxygen Demand,2.24
"Fulchari Ghat, Gibanda (US)",2020,Dissolved Oxygen,7.56
"Fulchari Ghat, Gibanda (US)",2020,pH,7.66
Fultala Ghat,2022,Biochemical Oxygen Demand,1.7
Fultala Ghat,2022,Dissolved Oxygen,4.7
Fultala Ghat,2022,pH,7.55
Fultala Ghat (M),2018,Biochemical Oxygen Demand,0.98
Fultala Ghat (M),2018,Dissolved Oxygen,7.76
Fultala Ghat (M),2018,Salinity,3.9
Fultala Ghat (M),2018,pH,5.75
Fultala Ghat (M),2019,Biochemical Oxygen Demand,0.91
Fultala Ghat (M),2019,Dissolved Oxygen,6.1
Fultala Ghat (M),2019,pH,7.69
Fultala Ghat (M),2020,Biochemical Oxygen Demand,1.57
Fultala Ghat (M),2020,Dissolved Oxygen,6.86
Fultala Ghat (M),2020,pH,8.25
Fultala Ghat (O),2018,Biochemical Oxygen Demand,0.95
Fultala Ghat (O),2018,Dissolved Oxygen,7.75
Fultala Ghat (O),2018,Salinity,3.89
Fultala Ghat (O),2019,Biochemical Oxygen Demand,0.93
Fultala Ghat (O),2019,Dissolved Oxygen,6.14
Fultala Ghat (O),2019,pH,7.77
Fultala Ghat (O),2020,Biochemical Oxygen Demand,1.57
Fultala Ghat (O),2020,Dissolved Oxygen,6.86
Fultala Ghat (O),2020,pH,8.25
Fultala Ghat(S),2018,Biochemical Oxygen Demand,1
Fultala Ghat(S),2018,Dissolved Oxygen,7.75
Fultala Ghat(S),2018,Salinity,3.89
Fultala Ghat(S),2018,pH,5.75
Fultala Ghat(S),2019,Biochemical Oxygen Demand,0.9
Fultala Ghat(S),2019,Dissolved Oxygen,6.09
Fultala Ghat(S),2019,pH,7.68
Fultala Ghat(S),2020,Biochemical Oxygen Demand,1.57
Fultala Ghat(S),2020,Dissolved Oxygen,6.86
Fultala Ghat(S),2020,pH,8.24
"Fultala Ghat, Dhulgram",2021,Biochemical Oxygen Demand,4.01
"Fultala Ghat, Dhulgram",2021,Dissolved Oxygen,5.16
"Fultala Ghat, Dhulgram",2021,pH,8.36
"Fultala Ghat, Dhulgram",2023,Biochemical Oxygen Demand,12.07
"Fultala Ghat, Dhulgram",2023,Dissolved Oxygen,5.93
"Fultala Ghat, Dhulgram",2023,pH,5.93
Gabkhan Lounch Terminal (M),2022,Chemical Oxygen Demand,57.73
Gabkhan Lounch Terminal (M),2022,Dissolved Oxygen,6.98
Gabkhan Lounch Terminal (M),2022,pH,9.25
Gabkhan Lounch Terminal (S),2022,Chemical Oxygen Demand,55.57
Gabkhan Lounch Terminal (S),2022,Dissolved Oxygen,6.75
Gabkhan Lounch Terminal (S),2022,pH,8.87
Gallamari Bridge (M),2018,Dissolved Oxygen,1.17
Gallamari Bridge (M),2018,Salinity,1.04
Gallamari Bridge (M),2018,pH,7.64
Gallamari Bridge (M),2019,Dissolved Oxygen,1.91
Gallamari Bridge (M),2019,pH,7.67
Gallamari Bridge (M),2020,Dissolved Oxygen,1.89
Gallamari Bridge (M),2020,pH,7.77
Gallamari Bridge (O),2018,Dissolved Oxygen,1.16
Gallamari Bridge (O),2018,Salinity,1.04
Gallamari Bridge (O),2018,pH,7.62
Gallamari Bridge (O),2019,Dissolved Oxygen,1.89
Gallamari Bridge (O),2019,pH,7.67
Gallamari Bridge (O),2020,Dissolved Oxygen,1.89
Gallamari Bridge (O),2020,pH,7.66
Gallamari Bridge (S),2018,Dissolved Oxygen,1.16
Gallamari Bridge (S),2018,Salinity,1.02
Gallamari Bridge (S),2018,pH,7.62
Gallamari Bridge (S),2019,Dissolved Oxygen,1.91
Gallamari Bridge (S),2019,pH,7.67
Gallamari Bridge (S),2020,Dissolved Oxygen,1.89
Gallamari Bridge (S),2020,pH,7.77
Garduara Sluice Gate,2022,Biochemical Oxygen Demand,12.1
Garduara Sluice Gate,2022,Chemical Oxygen Demand,12.1
Garduara Sluice Gate,2022,Dissolved Oxygen,6.26
Garduara Sluice Gate,2022,pH,7.51
Garduara Sluice Gate,2023,Biochemical Oxygen Demand,3.83
Garduara Sluice Gate,2023,Chemical Oxygen Demand,9.17
Garduara Sluice Gate,2023,Dissolved Oxygen,7.13
Garduara Sluice Gate,2023,pH,7.13
Garduara Sluice gate,2021,Biochemical Oxygen Demand,5.08
Garduara Sluice gate,2021,Chemical Oxygen Demand,19.25
Garduara Sluice gate,2021,Dissolved Oxygen,6.7
Garduara Sluice gate,2021,pH,7.84
Ghorashal F.F.,2018,Biochemical Oxygen Demand,7.93
Ghorashal F.F.,2018,Chemical Oxygen Demand,33.5
Ghorashal F.F.,2018,Dissolved Oxygen,4.36
Ghorashal F.F.,2018,pH,7.56
Ghorashal F.F.,2019,Biochemical Oxygen Demand,4.89
Ghorashal F.F.,2019,Chemical Oxygen Demand,20.6
Ghorashal F.F.,2019,Dissolved Oxygen,4.84
Ghorashal F.F.,2019,pH,6.57
Ghorashal F.F.,2020,Biochemical Oxygen Demand,9.69
Ghorashal F.F.,2020,Chemical Oxygen Demand,41
Ghorashal F.F.,2020,Dissolved Oxygen,3.67
Ghorashal F.F.,2020,pH,7.37
Gilatala,2022,Biochemical Oxygen Demand,1.4
Gilatala,2022,Dissolved Oxygen,5.9
Gilatala,2022,pH,8.01
"Gilatala, Nadan Pratap (M)",2023,Biochemical Oxygen Demand,6.42
"Gilatala, Nadan Pratap (M)",2023,Dissolved Oxygen,5.55
"Gilatala, Nadan Pratap (M)",2023,pH,5.55
"Gilatola, Nadan Pratap (M)",2021,Biochemical Oxygen Demand,1.57
"Gilatola, Nadan Pratap (M)",2021,Dissolved Oxygen,5.82
"Gilatola, Nadan Pratap (M)",2021,pH,8.1
Gobindakathi,2022,Biochemical Oxygen Demand,1.3
Gobindakathi,2022,Dissolved Oxygen,5.1
Gobindakathi,2022,pH,7.75
Gorashal,2021,Biochemical Oxygen Demand,8.83
Gorashal,2021,Chemical Oxygen Demand,29.33
Gorashal,2021,Dissolved Oxygen,4.65
Gorashal,2021,pH,7.19
Gorashal Fertilizer,2022,Biochemical Oxygen Demand,5.72
Gorashal Fertilizer,2022,Chemical Oxygen Demand,17.33
Gorashal Fertilizer,2022,Dissolved Oxygen,4.89
Gorashal Fertilizer,2022,pH,7.43
Gorashal Fertilizer,2023,Biochemical Oxygen Demand,4.4
Gorashal Fertilizer,2023,Chemical Oxygen Demand,17.75
Gorashal Fertilizer,2023,Dissolved Oxygen,4.2
Gorashal Fertilizer,2023,pH,4.2
Gordhor Bazar,2021,Biochemical Oxygen Demand,2
Gordhor Bazar,2021,Dissolved Oxygen,6.8
Gordhor Bazar,2021,pH,8.02
Hajaribag,2018,Biochemical Oxygen Demand,8.51
Hajaribag,2018,Chemical Oxygen Demand,34
Hajaribag,2018,Dissolved Oxygen,2.4
Hajaribag,2018,pH,7.46
Hajaribag,2019,Biochemical Oxygen Demand,10.49
Hajaribag,2019,Chemical Oxygen Demand,34.83
Hajaribag,2019,Dissolved Oxygen,1.63
Hajaribag,2019,pH,7.34
Hajaribag,2020,Biochemical Oxygen Demand,13.53
Hajaribag,2020,Chemical Oxygen Demand,41.58
Hajaribag,2020,Dissolved Oxygen,2.64
Hajaribag,2020,pH,7.26
Hajaribag,2021,Biochemical Oxygen Demand,17.3
Hajaribag,2021,Chemical Oxygen Demand,57.3
Hajaribag,2021,Dissolved Oxygen,2.09
Hajaribag,2021,pH,7.24
Hajaribag,2022,Biochemical Oxygen Demand,12.8
Hajaribag,2022,Chemical Oxygen Demand,62.83
Hajaribag,2022,Dissolved Oxygen,3.12
Hajaribag,2022,pH,7.29
Hajaribag,2023,Biochemical Oxygen Demand,13
Hajaribag,2023,Chemical Oxygen Demand,39.11
Hajaribag,2023,Dissolved Oxygen,2.68
Hajaribag,2023,pH,2.68
Halda Bridge,2021,Biochemical Oxygen Demand,4.92
Halda Bridge,2021,Chemical Oxygen Demand,17.83
Halda Bridge,2021,Dissolved Oxygen,6.78
Halda Bridge,2021,pH,7.89
Halda Bridge,2022,Biochemical Oxygen Demand,12.15
Halda Bridge,2022,Chemical Oxygen Demand,12.15
Halda Bridge,2022,Dissolved Oxygen,6.56
Halda Bridge,2022,pH,7.48
Halda Bridge,2023,Biochemical Oxygen Demand,3.5
Halda Bridge,2023,Chemical Oxygen Demand,8.92
Halda Bridge,2023,Dissolved Oxygen,6.83
Halda Bridge,2023,pH,6.83
Hamayatpur,2018,Biochemical Oxygen Demand,33
Hamayatpur,2018,Chemical Oxygen Demand,107.44
Hamayatpur,2018,Dissolved Oxygen,4.11
Hamayatpur,2018,pH,8
Hazratpur,2021,Biochemical Oxygen Demand,10.57
Hazratpur,2021,Chemical Oxygen Demand,38.29
Hazratpur,2021,Dissolved Oxygen,6.89
Hazratpur,2021,pH,7.86
Hazratpur,2022,Biochemical Oxygen Demand,7.13
Hazratpur,2022,Chemical Oxygen Demand,31.13
Hazratpur,2022,Dissolved Oxygen,5.22
Hazratpur,2022,pH,7.59
Hazratpur,2023,Biochemical Oxygen Demand,3.88
Hazratpur,2023,Chemical Oxygen Demand,34
Hazratpur,2023,Dissolved Oxygen,6.31
Hazratpur,2023,pH,6.31
Horipur Kheya Ghat (D),2022,Biochemical Oxygen Demand,2.38
Horipur Kheya Ghat (D),2022,Dissolved Oxygen,7.62
Horipur Kheya Ghat (D),2022,pH,7.67
Horipur Kheya Ghat (DN),2021,Biochemical Oxygen Demand,2.23
Horipur Kheya Ghat (DN),2021,Dissolved Oxygen,7.75
Horipur Kheya Ghat (DN),2021,pH,7.79
Horipur Kheya Ghat (Dn),2023,Biochemical Oxygen Demand,2.38
Horipur Kheya Ghat (Dn),2023,Dissolved Oxygen,7.52
Horipur Kheya Ghat (Dn),2023,pH,7.52
Horipur Kheya Ghat (U),2022,Biochemical Oxygen Demand,2.38
Horipur Kheya Ghat (U),2022,Dissolved Oxygen,7.62
Horipur Kheya Ghat (U),2022,pH,7.67
Horipur Kheya Ghat (UP),2021,Biochemical Oxygen Demand,2.23
Horipur Kheya Ghat (UP),2021,Dissolved Oxygen,7.75
Horipur Kheya Ghat (UP),2021,pH,7.79
Horipur Kheya Ghat (Up),2023,Biochemical Oxygen Demand,2.38
Horipur Kheya Ghat (Up),2023,Dissolved Oxygen,7.52
Horipur Kheya Ghat (Up),2023,pH,7.52
Jamalpur Bridge,2022,Biochemical Oxygen Demand,4
Jamalpur Bridge,2022,Dissolved Oxygen,7.55
Jamalpur Bridge,2022,pH,7.34
Jamalpur Rail Bridge,2022,Biochemical Oxygen Demand,1.8
Jamalpur Rail Bridge,2022,Dissolved Oxygen,8
Jamalpur Rail Bridge,2022,pH,7.93
JamalpurRail Bridge,2021,Biochemical Oxygen Demand,5.75
JamalpurRail Bridge,2021,Dissolved Oxygen,8.23
JamalpurRail Bridge,2021,pH,7.41
Jamuna Eco Park (D),2022,Biochemical Oxygen Demand,2.33
Jamuna Eco Park (D),2022,Dissolved Oxygen,7.63
Jamuna Eco Park (D),2022,pH,7.53
Jamuna Eco Park (DN),2021,Biochemical Oxygen Demand,2.28
Jamuna Eco Park (DN),2021,Dissolved Oxygen,13.99
Jamuna Eco Park (DN),2021,pH,7.57
Jamuna Eco Park (Dn),2023,Biochemical Oxygen Demand,2.33
Jamuna Eco Park (Dn),2023,Dissolved Oxygen,7.57
Jamuna Eco Park (Dn),2023,pH,7.57
Jamuna Eco Park (U),2022,Biochemical Oxygen Demand,2.33
Jamuna Eco Park (U),2022,Dissolved Oxygen,7.63
Jamuna Eco Park (U),2022,pH,7.53
Jamuna Eco Park (UP),2021,Biochemical Oxygen Demand,2.28
Jamuna Eco Park (UP),2021,Dissolved Oxygen,7.63
Jamuna Eco Park (UP),2021,pH,7.57
Jamuna Eco Park (Up),2023,Biochemical Oxygen Demand,2.33
Jamuna Eco Park (Up),2023,Dissolved Oxygen,7.57
Jamuna Eco Park (Up),2023,pH,7.57
Jhalkathi L.G (M),2018,Biochemical Oxygen Demand,2.25
Jhalkathi L.G (M),2018,Dissolved Oxygen,5.56
Jhalkathi L.G (M),2018,pH,7.4
Jhalkathi L.G (M),2019,Biochemical Oxygen Demand,2.09
Jhalkathi L.G (M),2019,Dissolved Oxygen,5.89
Jhalkathi L.G (M),2019,pH,7.6
Jhalkathi L.G (M),2020,Biochemical Oxygen Demand,1.95
Jhalkathi L.G (M),2020,Dissolved Oxygen,7.05
Jhalkathi L.G (M),2020,pH,7.55
Jhalkathi L.G (S),2018,Biochemical Oxygen Demand,2.1
Jhalkathi L.G (S),2018,Dissolved Oxygen,5.73
Jhalkathi L.G (S),2018,pH,7.42
Jhalkathi L.G (S),2019,Biochemical Oxygen Demand,2.01
Jhalkathi L.G (S),2019,Dissolved Oxygen,6.01
Jhalkathi L.G (S),2019,pH,7.72
Jhalkathi L.G (S),2020,Biochemical Oxygen Demand,2.1
Jhalkathi L.G (S),2020,Dissolved Oxygen,7.2
Jhalkathi L.G (S),2020,pH,7.45
Jolshiri Abason,2021,Biochemical Oxygen Demand,11.31
Jolshiri Abason,2021,Chemical Oxygen Demand,42.22
Jolshiri Abason,2021,Dissolved Oxygen,2.42
Jolshiri Abason,2021,pH,7.05
Jolshiri Abason,2022,Biochemical Oxygen Demand,14.75
Jolshiri Abason,2022,Chemical Oxygen Demand,63.42
Jolshiri Abason,2022,Dissolved Oxygen,2.69
Jolshiri Abason,2022,pH,7.18
Jolshiri Abason,2023,Biochemical Oxygen Demand,9.89
Jolshiri Abason,2023,Chemical Oxygen Demand,33.38
Jolshiri Abason,2023,Dissolved Oxygen,3.15
Jolshiri Abason,2023,pH,3.15
Joramtol Shipyard Area,2019,Dissolved Oxygen,7.5
Joramtol Shipyard Area,2019,Plastic and Marine Debris,610
Joramtol Shipyard Area,2019,Salinity,9.94
Joramtol Shipyard Area,2019,pH,7.8
Josldia,2021,Biochemical Oxygen Demand,5
Josldia,2021,Dissolved Oxygen,6.1
Josldia,2021,pH,7.75
KAFCO side,2020,Biochemical Oxygen Demand,504.17
KAFCO side,2020,Chemical Oxygen Demand,164.5
KAFCO side,2020,Dissolved Oxygen,7.55
KAFCO side,2020,pH,7.83
Kakua,2021,Biochemical Oxygen Demand,8.33
Kakua,2021,Dissolved Oxygen,6.67
Kakua,2021,pH,7.35
Kakua,2022,Biochemical Oxygen Demand,3.15
Kakua,2022,Dissolved Oxygen,7.38
Kakua,2022,pH,7.96
Kakua,2023,Biochemical Oxygen Demand,2.2
Kakua,2023,Dissolved Oxygen,7.45
Kakua,2023,pH,7.45
Kaliakoir,2021,Biochemical Oxygen Demand,14.36
Kaliakoir,2021,Chemical Oxygen Demand,38.11
Kaliakoir,2021,Dissolved Oxygen,4.72
Kaliakoir,2021,pH,7.21
Kaliakoir,2022,Biochemical Oxygen Demand,6.7
Kaliakoir,2022,Chemical Oxygen Demand,36.5
Kaliakoir,2022,Dissolved Oxygen,5.39
Kaliakoir,2022,pH,7.58
Kaliakoir,2023,Biochemical Oxygen Demand,5.17
Kaliakoir,2023,Chemical Oxygen Demand,20.44
Kaliakoir,2023,Dissolved Oxygen,5.63
Kaliakoir,2023,pH,5.63
Kalibari Ghat (M),2021,Biochemical Oxygen Demand,3.03
Kalibari Ghat (M),2021,Dissolved Oxygen,5.66
Kalibari Ghat (M),2021,pH,8.09
Kalibari Ghat (M),2022,Biochemical Oxygen Demand,2.1
Kalibari Ghat (M),2022,Dissolved Oxygen,3.9
Kalibari Ghat (M),2022,pH,8.09
Kalibari Ghat (M),2023,Biochemical Oxygen Demand,20.44
Kalibari Ghat (M),2023,Dissolved Oxygen,5.98
Kalibari Ghat (M),2023,pH,5.98
Kaliganj (M.P),2018,Biochemical Oxygen Demand,0.97
Kaliganj (M.P),2018,Dissolved Oxygen,5.29
Kaliganj (M.P),2018,Salinity,6.23
Kaliganj (M.P),2018,pH,7.56
Kaliganj (M.P),2019,Biochemical Oxygen Demand,1.07
Kaliganj (M.P),2019,Dissolved Oxygen,5.6
Kaliganj (M.P),2019,pH,7.73
Kaliganj (M.P),2020,Biochemical Oxygen Demand,1.22
Kaliganj (M.P),2020,Dissolved Oxygen,6.66
Kaliganj (M.P),2020,pH,8.17
Kaliganj (O.P),2018,Biochemical Oxygen Demand,0.97
Kaliganj (O.P),2018,Dissolved Oxygen,5.25
Kaliganj (O.P),2018,Salinity,6.25
Kaliganj (O.P),2018,pH,7.58
Kaliganj (O.P),2019,Biochemical Oxygen Demand,1.1
Kaliganj (O.P),2019,Dissolved Oxygen,5.61
Kaliganj (O.P),2019,pH,7.72
Kaliganj (O.P),2020,Biochemical Oxygen Demand,1.24
Kaliganj (O.P),2020,Dissolved Oxygen,6.66
Kaliganj (O.P),2020,pH,8.17
Kaliganj (S.P),2018,Biochemical Oxygen Demand,0.97
Kaliganj (S.P),2018,Dissolved Oxygen,5.23
Kaliganj (S.P),2018,Salinity,6.25
Kaliganj (S.P),2018,pH,7.57
Kaliganj (S.P),2019,Biochemical Oxygen Demand,1.09
Kaliganj (S.P),2019,Dissolved Oxygen,5.59
Kaliganj (S.P),2019,pH,7.72
Kaliganj (S.P),2020,Biochemical Oxygen Demand,1.24
Kaliganj (S.P),2020,Dissolved Oxygen,6.66
Kaliganj (S.P),2020,pH,8.17
Kaliganj Bazar,2021,Biochemical Oxygen Demand,7.7
Kaliganj Bazar,2021,Dissolved Oxygen,8.15
Kaliganj Bazar,2021,pH,5.64
Kaliganj Bazar,2022,Biochemical Oxygen Demand,1.3
Kaliganj Bazar,2022,Dissolved Oxygen,5.4
Kaliganj Bazar,2022,pH,7.73
Kaliganj Bazar,2023,Biochemical Oxygen Demand,6.01
Kaliganj Bazar,2023,Dissolved Oxygen,5.85
Kaliganj Bazar,2023,pH,5.85
Kalurghat Bridge,2021,Biochemical Oxygen Demand,5.64
Kalurghat Bridge,2021,Chemical Oxygen Demand,19.09
Kalurghat Bridge,2021,Dissolved Oxygen,7.53
Kalurghat Bridge,2021,pH,7.37
Kalurghat Bridge,2022,Biochemical Oxygen Demand,3.83
Kalurghat Bridge,2022,Chemical Oxygen Demand,11.42
Kalurghat Bridge,2022,Dissolved Oxygen,7.53
Kalurghat Bridge,2022,pH,7.48
Kalurghat Bridge,2023,Biochemical Oxygen Demand,4.42
Kalurghat Bridge,2023,Chemical Oxygen Demand,12.67
Kalurghat Bridge,2023,Dissolved Oxygen,7.57
Kalurghat Bridge,2023,pH,7.57
Kamarkhali Bridge,2021,Biochemical Oxygen Demand,2.03
Kamarkhali Bridge,2021,Dissolved Oxygen,7.91
Kamarkhali Bridge,2021,pH,8.54
Kamarkhali Bridge,2023,Biochemical Oxygen Demand,5.39
Kamarkhali Bridge,2023,Dissolved Oxygen,6.81
Kamarkhali Bridge,2023,pH,6.81
Kamrangir Char,2018,Biochemical Oxygen Demand,8.01
Kamrangir Char,2018,Chemical Oxygen Demand,31.54
Kamrangir Char,2018,Dissolved Oxygen,1.99
Kamrangir Char,2018,pH,7.45
Kamrangir Char,2019,Biochemical Oxygen Demand,10.03
Kamrangir Char,2019,Chemical Oxygen Demand,37.25
Kamrangir Char,2019,Dissolved Oxygen,1.58
Kamrangir Char,2019,pH,7.35
Kamrangir Char,2020,Biochemical Oxygen Demand,13.17
Kamrangir Char,2020,Chemical Oxygen Demand,49.83
Kamrangir Char,2020,Dissolved Oxygen,2.52
Kamrangir Char,2020,pH,7.26
Kanchan Park (Down),2023,Biochemical Oxygen Demand,2.33
Kanchan Park (Down),2023,Dissolved Oxygen,7.45
Kanchan Park (Down),2023,pH,7.45
Kanchan Park (Up),2023,Biochemical Oxygen Demand,2.33
Kanchan Park (Up),2023,Dissolved Oxygen,7.45
Kanchan Park (Up),2023,pH,7.45
Kandipara,2021,Biochemical Oxygen Demand,4
Kandipara,2021,Dissolved Oxygen,6.3
Kandipara,2021,pH,7.84
Kaower Char (M),2021,Dissolved Oxygen,5.71
Kaower Char (M),2021,pH,7.99
Kaower Char (M),2022,Chemical Oxygen Demand,409
Kaower Char (M),2022,Dissolved Oxygen,6.58
Kaower Char (M),2022,pH,7.65
Kaower Char (M),2023,Dissolved Oxygen,6.65
Kaower Char (M),2023,pH,6.65
Kaower Char (S),2021,Dissolved Oxygen,5.77
Kaower Char (S),2021,pH,7.94
Kaower Char (S),2022,Chemical Oxygen Demand,111
Kaower Char (S),2022,Dissolved Oxygen,6.7
Kaower Char (S),2022,pH,7.8
Kaower Char (S),2023,Dissolved Oxygen,6.91
Kaower Char (S),2023,pH,6.91
Karnafully Mohona,2019,Chemical Oxygen Demand,762.67
Karnafully Mohona,2019,Dissolved Oxygen,7.74
Karnafully Mohona,2019,pH,7.72
Karnafully Mohona,2020,Biochemical Oxygen Demand,673
Karnafully Mohona,2020,Chemical Oxygen Demand,653.67
Karnafully Mohona,2020,Dissolved Oxygen,7.67
Karnafully Mohona,2020,pH,7.63
Karnafully Paper,2021,Biochemical Oxygen Demand,11.27
Karnafully Paper,2021,Chemical Oxygen Demand,40.09
Karnafully Paper,2021,Dissolved Oxygen,7.55
Karnafully Paper,2021,pH,7.63
"Karnafully River Chaktai Khal, ctg",2018,Dissolved Oxygen,5.93
"Karnafully River Chaktai Khal, ctg",2018,pH,7.73
"Karnafully River Chaktai Khal, ctg",2019,Chemical Oxygen Demand,164.5
"Karnafully River Chaktai Khal, ctg",2019,Dissolved Oxygen,5.17
"Karnafully River Chaktai Khal, ctg",2019,pH,7.64
Karnaphuli Mohona,2019,Biochemical Oxygen Demand,28.75
Karnaphuli Mohona,2019,Chemical Oxygen Demand,617
Karnaphuli Mohona,2019,Dissolved Oxygen,7.83
Karnaphuli Mohona,2019,Plastic and Marine Debris,4193
Karnaphuli Mohona,2019,Salinity,10.93
Karnaphuli Mohona,2019,pH,7.72
Karnaphuli Mohona,2020,Biochemical Oxygen Demand,7
Karnaphuli Mohona,2020,Chemical Oxygen Demand,156
Karnaphuli Mohona,2020,Dissolved Oxygen,7.12
Karnaphuli Mohona,2020,Salinity,4.9
Karnaphuli Mohona,2020,pH,7.28
Karnaphuli Mohona,2021,Biochemical Oxygen Demand,24
Karnaphuli Mohona,2021,Chemical Oxygen Demand,110
Karnaphuli Mohona,2021,Dissolved Oxygen,6.59
Karnaphuli Mohona,2021,Salinity,13.36
Karnaphuli Mohona,2021,pH,7.42
Karnaphuli Mohona,2022,Dissolved Oxygen,7.58
Karnaphuli Mohona,2022,Salinity,14.52
Karnaphuli Mohona,2022,pH,7.68
Karnaphuli Mohona,2023,Dissolved Oxygen,7.46
Karnaphuli Mohona,2023,Salinity,14.1
Karnaphuli Mohona,2023,pH,7.36
Karnaphuli Mohona,2024,Dissolved Oxygen,8.15
Karnaphuli Mohona,2024,Salinity,4.8
Karnaphuli Mohona,2024,pH,7.86
Karnaphuli Paper,2022,Biochemical Oxygen Demand,4.09
Karnaphuli Paper,2022,Chemical Oxygen Demand,12.18
Karnaphuli Paper,2022,Dissolved Oxygen,7.59
Karnaphuli Paper,2022,pH,7.55
